//Title, Id, Width, Height, FieldSize
WI_WORLD_MADRIGAL 1 10000 5000 50
WI_WORLD_KEBARAS 2 2000 2000 50
WI_WORLD_CISLAND 3 1000 1000 100

WI_WORLD_HEAVEN01 21 1000 1000 100
WI_WORLD_HEAVEN02 22 1000 1000 100
WI_WORLD_HEAVEN03 23 1000 1000 100
WI_WORLD_HEAVEN04 24 1000 1000 100
WI_WORLD_HEAVEN05 25 1000 1000 100

WI_WORLD_0425 100 1000 1000 100
WI_WORLD_TEST 101 1000 1000 100
WI_WORLD_LUX 102 1000 1000 100
WI_WORLD_LUX2 103 1000 1000 100

WI_DUNGEON_SECRET_0 151 1000 1000 100
WI_DUNGEON_SECRET_1 152 1000 1000 100
WI_DUNGEON_SECRET_2 153 1000 1000 100
WI_DUNGEON_SECRET_3 154 1000 1000 100
WI_DUNGEON_SECRET_4 155 1000 1000 100
WI_DUNGEON_SECRET_5 156 1000 1000 100
WI_DUNGEON_SECRET_6 157 1000 1000 100
WI_DUNGEON_SECRET_7 158 1000 1000 100
WI_DUNGEON_SECRET_8 159 1000 1000 100
WI_DUNGEON_SECRET_9 160 1000 1000 100
WI_DUNGEON_SECRET_10 161 1000 1000 100
WI_DUNGEON_SECRET_11 162 1000 1000 100
WI_DUNGEON_SECRET_12 163 1000 1000 100
WI_DUNGEON_SECRET_13 164 1000 1000 100
WI_DUNGEON_SECRET_14 165 1000 1000 100
WI_DUNGEON_SECRET_15 166 1000 1000 100
WI_DUNGEON_SECRET_16 167 1000 1000 100

//WI_DUNGEON_SECRET_L 167 1000 1000 100

WI_WORLD_EVENT01 120 1000 1000 100
WI_DUNGEON_FL_MAS 200 1000 1000 100
WI_DUNGEON_DA_DK 201 1000 1000 100
WI_WORLD_GUILDWAR 202 1000 1000 100
WI_DUNGEON_VOLCANE 203 1000 1000 100
WI_DUNGEON_SA_TA 204 1000 1000 100
WI_DUNGEON_SA_TA2 205 1000 1000 100
WI_DUNGEON_VOLCANERED 206 1000 1000 100
WI_DUNGEON_VOLCANEYELLOW 207 1000 1000 100
WI_WORLD_ARENA 208 1000 1000 100
WI_WORLD_MINIROOM 209 1000 1000 100

WI_DUNGEON_MUSCLE 210 1000 1000 100
WI_DUNGEON_KRRR 220 1000 1000 100
WI_DUNGEON_BEAR 230 1000 1000 100

WI_WORLD_GUILDWAR1TO1_0 241 1000 1000 100
WI_WORLD_GUILDWAR1TO1_1 242 1000 1000 100
WI_WORLD_GUILDWAR1TO1_2 243 1000 1000 100
WI_WORLD_GUILDWAR1TO1_3 244 1000 1000 100

//WI_WORLD_GUILDWAR1TO1_L 244 1000 1000 100
